RankinBoxOffice,TitleinBoxOffice,Title,Year,imdbID,imdbRating,imdbVotes,Type,Website,Writer,Runtime,Response,Released,Ratings,Rated,Production,Poster,Plot,Metascore,Language,Genre,Director,DVD,Country,BoxOffice,Awards,Actors
69,Warcraft,Warcraft: The Beginning,2016,tt0803096,6.9,"198,575",movie,http://www.warcraftmovie.com/,Charles Leavitt (screenplay)| Duncan Jones (screenplay),123 min,True,10 Jun 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.9/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '28%'}| {'Source': 'Metacritic'| 'Value': '32/100'}],PG-13,Universal Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIwNTM0Mzc5MV5BMl5BanBnXkFtZTgwMDk5NDU1ODE@._V1_SX300.jpg,"As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war.",32,English,Action| Adventure| Fantasy,Duncan Jones,27 Sep 2016,"China, Canada, Japan, USA","$44,765,679",2 wins & 3 nominations.,Travis Fimmel| Paula Patton| Ben Foster| Dominic Cooper
71,Mike and Dave Need Wedding Dates,Mike and Dave Need Wedding Dates,2016,tt2823054,6.0,"62,039",movie,http://www.foxmovies.com/movies/mike-and-dave-need-wedding-dates,Andrew Jay Cohen| Brendan O'Brien,98 min,True,08 Jul 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.0/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '35%'}| {'Source': 'Metacritic'| 'Value': '51/100'}],R,20th Century Fox,https://images-na.ssl-images-amazon.com/images/M/MV5BMjM4NDIxNzI5Nl5BMl5BanBnXkFtZTgwMTg4NTY5NzE@._V1_SX300.jpg,"Two hard-partying brothers place an online ad to find the perfect dates for their sister's Hawaiian wedding. Hoping for a wild getaway, the boys instead find themselves out-hustled by an uncontrollable duo.",51,"Chinese, Japanese, English",Adventure| Comedy| Romance,Jake Szymanski,27 Sep 2016,USA,"$46,007,113",4 nominations.,Zac Efron| Adam Devine| Anna Kendrick| Aubrey Plaza
73,Almost Christmas,Almost Christmas,2016,tt4649416,6.0,"3,604",movie,http://www.almostchristmasmovie.com,David E. Talbert,111 min,True,11 Nov 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.0/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '51%'}| {'Source': 'Metacritic'| 'Value': '55/100'}],PG-13,Will Packer Productions,https://images-na.ssl-images-amazon.com/images/M/MV5BMjM1MTkwNTQ1Ml5BMl5BanBnXkFtZTgwNTc5ODgxOTE@._V1_SX300.jpg,A dysfunctional family gathers together for their first Christmas since their mom died.,55,English,Comedy| Drama,David E. Talbert,07 Feb 2017,USA,"$41,715,860",3 nominations.,Danny Glover| Gabrielle Union| Mo'Nique| Kimberly Elise
75,Allied,Allied,2016,tt3640424,7.1,"98,742",movie,http://www.alliedmovie.com/,Steven Knight,124 min,True,23 Nov 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.1/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '59%'}| {'Source': 'Metacritic'| 'Value': '60/100'}],R,Paramount Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BZWEyMzg4ZWUtYmZhMC00Yjk2LWEyYjktODVmN2M3YTA2ZmNjXkEyXkFqcGdeQXVyNjQ2Mjg3OTI@._V1_SX300.jpg,"In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.",60,"English, French, German, Arabic",Action| Drama| Romance,Robert Zemeckis,28 Feb 2017,"UK, USA","$40,069,087",Nominated for 1 Oscar. Another 10 nominations.,Brad Pitt| Vincent Ebrahim| Xavier De Guillebon| Marion Cotillard
77,Risen,Risen,2016,tt3231054,6.3,"19,290",movie,http://www.risen-movie.com/,Kevin Reynolds (screenplay)| Paul Aiello (screenplay)| Paul Aiello (story),107 min,True,19 Feb 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.3/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '52%'}| {'Source': 'Metacritic'| 'Value': '51/100'}],PG-13,Sony Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMTAzNjQ1Mzk2MjNeQTJeQWpwZ15BbWU4MDU0MDk1Mjcx._V1_SX300.jpg,"In 33 AD, a Roman Tribune in Judea is tasked to find the missing body of Jesus Christ who rose from the dead.",51,English,Action| Adventure| Drama,Kevin Reynolds,24 May 2016,USA,N/A,N/A,Joseph Fiennes| Tom Felton| Peter Firth| Cliff Curtis
79,The Boy (2016),error
81,Ouija: Origin of Evil,Ouija: Origin of Evil,2016,tt4361050,6.1,"37,283",movie,http://ouijamovie.com/,Mike Flanagan| Jeff Howard| Juliet Snowden (based on characters created by)| Stiles White (based on characters created by),99 min,True,21 Oct 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.1/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '82%'}| {'Source': 'Metacritic'| 'Value': '65/100'}],PG-13,Universal Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4NTcxNTQ5NF5BMl5BanBnXkFtZTgwNTk5OTU4OTE@._V1_SX300.jpg,"In 1967 Los Angeles, a widowed mother and her daughters add a new stunt to bolster their seance scam business, inviting an evil presence into their home.",65,"English, Ukrainian",Horror| Thriller,Mike Flanagan,17 Jan 2017,"USA, China, Japan","$34,904,885",2 wins & 5 nominations.,Annalise Basso| Elizabeth Reaser| Lulu Wilson| Henry Thomas
83,Inferno,Inferno,2016,tt3062096,6.2,"114,234",movie,http://www.infernomovie.net/site,Dan Brown (based in part on the novel by)| David Koepp (screenplay by),121 min,True,28 Oct 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.2/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '22%'}| {'Source': 'Metacritic'| 'Value': '42/100'}],PG-13,Sony Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUzNTE2NTkzMV5BMl5BanBnXkFtZTgwMDAzOTUyMDI@._V1_SX300.jpg,"When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks, and together they must race across Europe against the clock to foil a deadly global plot.",42,"English, French, Italian, Turkish",Action| Adventure| Crime,Ron Howard,24 Jan 2017,"USA, Hungary","$34,307,024",1 nomination.,Tom Hanks| Felicity Jones| Omar Sy| Irrfan Khan
85,Gods of Egypt,Gods of Egypt,2016,tt2404233,5.4,"79,193",movie,http://www.godsofegypt.movie/home,Matt Sazama| Burk Sharpless,127 min,True,26 Feb 2016,[{'Source': 'Internet Movie Database'| 'Value': '5.4/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '15%'}| {'Source': 'Metacritic'| 'Value': '25/100'}],PG-13,Lionsgate,https://images-na.ssl-images-amazon.com/images/M/MV5BNjExODg3MDUzNl5BMl5BanBnXkFtZTgwNjExMjE3NzE@._V1_SX300.jpg,"Mortal hero Bek teams with the god Horus in an alliance against Set, the merciless god of darkness, who has usurped Egypt's throne, plunging the once peaceful and prosperous empire into chaos and conflict.",25,English,Action| Adventure| Fantasy,Alex Proyas,31 May 2016,"USA, Australia","$31,141,074",1 win & 14 nominations.,Brenton Thwaites| John Samaha| Courtney Eaton| Nikolaj Coster-Waldau
87,"Hail, Caesar!","Hail, Caesar!",2016,tt0475290,6.3,"95,042",movie,http://www.hailcaesarmovie.com/,Joel Coen| Ethan Coen,106 min,True,05 Feb 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.3/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '85%'}| {'Source': 'Metacritic'| 'Value': '72/100'}],PG-13,Universal Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BOTI1M2FlMzItY2VjYS00Y2VkLWI5OTQtMzA0MWMyNmQzZmQ0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,A Hollywood fixer in the 1950s works to keep the studio's stars in line.,72,English,Comedy| Mystery,Ethan Coen| Joel Coen,07 Jun 2016,"UK, USA, Japan","$27,927,631",Nominated for 1 Oscar. Another 11 wins & 37 nominations.,Josh Brolin| George Clooney| Alden Ehrenreich| Ralph Fiennes
89,Zoolander 2,Zoolander 2,2016,tt1608290,4.7,"51,834",movie,http://www.zoolander.com/,Justin Theroux| Ben Stiller| Nicholas Stoller| John Hamburg| Drake Sather (character Derek Zoolander)| Ben Stiller (character Derek Zoolander),101 min,True,12 Feb 2016,[{'Source': 'Internet Movie Database'| 'Value': '4.7/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '23%'}| {'Source': 'Metacritic'| 'Value': '34/100'}],PG-13,Paramount Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI2MjQxNTQzOV5BMl5BanBnXkFtZTgwMDE2MTY2NzE@._V1_SX300.jpg,"Derek and Hansel are lured into modeling again, in Rome, where they find themselves the target of a sinister conspiracy.",34,"English, Italian, Spanish",Comedy,Ben Stiller,24 May 2016,USA,"$29,782,560",6 wins & 17 nominations.,Justin Bieber| Jon Daly| Penélope Cruz| Ben Stiller
91,The Finest Hours,The Finest Hours,2016,tt2025690,6.8,"48,273",movie,http://movies.disney.com/the-finest-hours,Scott Silver (screenplay)| Paul Tamasy (screenplay)| Eric Johnson (screenplay)| Casey Sherman (book)| Michael J. Tougias (book),117 min,True,29 Jan 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.8/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '64%'}| {'Source': 'Metacritic'| 'Value': '58/100'}],PG-13,Walt Disney Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BNTY1MDU1NzYzN15BMl5BanBnXkFtZTgwOTA0MDQyNzE@._V1_SX300.jpg,The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952.,58,English,Action| Drama| History,Craig Gillespie,24 May 2016,USA,"$20,278,493",2 wins.,Chris Pine| Casey Affleck| Ben Foster| Eric Bana
93,Hell or High Water,Hell or High Water,2016,tt2582782,7.6,"135,166",movie,http://hellorhighwater.movie,Taylor Sheridan,102 min,True,26 Aug 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.6/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '98%'}| {'Source': 'Metacritic'| 'Value': '88/100'}],R,Film 44,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg4NDA1OTA5NF5BMl5BanBnXkFtZTgwMDQ2MDM5ODE@._V1_SX300.jpg,A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,88,English,Crime| Drama| Thriller,David Mackenzie,22 Nov 2016,USA,"$26,973,524",Nominated for 4 Oscars. Another 39 wins & 156 nominations.,Dale Dickey| Ben Foster| Chris Pine| William Sterchi
95,Ben-Hur (2016),error
97,Bridget Jones's Baby,Bridget Jones's Baby,2016,tt1473832,6.6,"48,975",movie,http://www.bridgetjonesmovie.com/,Helen Fielding (screenplay)| Dan Mazer (screenplay)| Emma Thompson (screenplay)| Helen Fielding (based on the characters and story created by),118 min,True,16 Sep 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.6/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '76%'}| {'Source': 'Metacritic'| 'Value': '59/100'}],R,Working Title,https://images-na.ssl-images-amazon.com/images/M/MV5BMjQyMTI0MjIyOV5BMl5BanBnXkFtZTgwMzEyMjQ1ODE@._V1_SX300.jpg,"Bridget's focus on single life and her career is interrupted when she finds herself pregnant, but with one hitch ... she can only be fifty percent sure of the identity of her baby's father.",59,"English, Italian",Comedy| Romance,Sharon Maguire,13 Dec 2016,"Ireland, UK, France, USA","$24,089,465",1 win & 1 nomination.,Renée Zellweger| Gemma Jones| Jim Broadbent| Sally Phillips
99,Whiskey Tango Foxtrot,Whiskey Tango Foxtrot,2016,tt3553442,6.6,"39,545",movie,http://www.whiskeytangofoxtrotthemovie.com/,"Robert Carlock (screenplay by)| Kim Barker (based on the book ""The Taliban Shuffle: Strange Days in Afghanistan and Pakistan"" by)",112 min,True,04 Mar 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.6/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '68%'}| {'Source': 'Metacritic'| 'Value': '57/100'}],R,Paramount Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIxOTIzMTM5OF5BMl5BanBnXkFtZTgwNDIxNTA1NzE@._V1_SX300.jpg,A journalist recounts her wartime coverage in Afghanistan.,57,"English, Pushto, Dari, French",Biography| Comedy| Drama,Glenn Ficarra| John Requa,28 Jun 2016,USA,"$18,356,529",1 nomination.,Tina Fey| Margot Robbie| Martin Freeman| Alfred Molina
2,Finding Dory,Finding Dory,2016,tt2277860,7.4,"177,113",movie,http://movies.disney.com/finding-dory,Andrew Stanton (original story by)| Andrew Stanton (screenplay by)| Victoria Strouse (screenplay by)| Bob Peterson (additional screenplay material by)| Angus MacLane (additional story material by),97 min,True,17 Jun 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.4/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '94%'}| {'Source': 'Metacritic'| 'Value': '77/100'}],PG,Walt Disney Pictures/PIXAR,https://images-na.ssl-images-amazon.com/images/M/MV5BNzg4MjM2NDQ4MV5BMl5BanBnXkFtZTgwMzk3MTgyODE@._V1_SX300.jpg,"The friendly but forgetful blue tang fish, Dory, begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.",77,"English, Indonesian",Animation| Adventure| Comedy,Andrew Stanton| Angus MacLane(co-director),15 Nov 2016,USA,"$486,292,984",Nominated for 1 BAFTA Film Award. Another 15 wins & 42 nominations.,Ellen DeGeneres| Albert Brooks| Ed O'Neill| Kaitlin Olson
4,The Secret Life of Pets,The Secret Life of Pets,2016,tt2709768,6.6,"136,072",movie,http://www.thesecretlifeofpets.com/,Cinco Paul| Ken Daurio| Brian Lynch,87 min,True,08 Jul 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.6/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '75%'}| {'Source': 'Metacritic'| 'Value': '61/100'}],PG,Universal Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIzMzA1OTkzNV5BMl5BanBnXkFtZTgwODE3MjM4NzE@._V1_SX300.jpg,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",61,English,Animation| Adventure| Comedy,Chris Renaud| Yarrow Cheney(co-director),06 Dec 2016,"Japan, USA","$368,305,960",4 wins & 15 nominations.,Louis C.K.| Eric Stonestreet| Kevin Hart| Jenny Slate
6,Deadpool,Deadpool,2016,tt1431045,8.0,"677,456",movie,http://www.foxmovies.com/deadpool,Rhett Reese| Paul Wernick,108 min,True,12 Feb 2016,[{'Source': 'Internet Movie Database'| 'Value': '8.0/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '84%'}| {'Source': 'Metacritic'| 'Value': '65/100'}],R,20th Century Fox,https://images-na.ssl-images-amazon.com/images/M/MV5BMjQyODg5Njc4N15BMl5BanBnXkFtZTgwMzExMjE3NzE@._V1_SX300.jpg,A fast-talking mercenary with a morbid sense of humor is subjected to a rogue experiment that leaves him with accelerated healing powers and a quest for revenge.,65,English,Action| Adventure| Comedy,Tim Miller,10 May 2016,USA,"$328,674,489",Nominated for 2 Golden Globes. Another 27 wins & 72 nominations.,Ryan Reynolds| Karan Soni| Ed Skrein| Michael Benyaer
8,Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,2016,tt2975590,6.6,"505,377",movie,http://www.facebook.com/batmanvsuperman,Chris Terrio| David S. Goyer| Bob Kane (Batman created by)| Bill Finger (Batman created by)| Jerry Siegel (Superman created by)| Joe Shuster (Superman created by),151 min,True,25 Mar 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.6/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '27%'}| {'Source': 'Metacritic'| 'Value': '44/100'}],PG-13,Warner Bros. Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BYThjYzcyYzItNTVjNy00NDk0LTgwMWQtYjMwNmNlNWJhMzMyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.",44,English,Action| Adventure| Sci-Fi,Zack Snyder,19 Jul 2016,USA,"$293,792,936",13 wins & 30 nominations.,Ben Affleck| Henry Cavill| Amy Adams| Jesse Eisenberg
10,Sing,Sing,2016,tt3470600,7.1,"83,925",movie,http://www.singmovie.com/,Garth Jennings,108 min,True,21 Dec 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.1/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '73%'}| {'Source': 'Metacritic'| 'Value': '59/100'}],PG,Illumination Entertainment,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzODYzODU2Ml5BMl5BanBnXkFtZTgwNTc1MTA2NzE@._V1_SX300.jpg,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists' find that their lives will never be the same.",59,"English, Japanese, Ukrainian",Animation| Comedy| Family,Garth Jennings| Christophe Lourdelet(co-director),21 Mar 2017,"Japan, USA","$270,322,940",Nominated for 2 Golden Globes. Another 1 win & 20 nominations.,Matthew McConaughey| Reese Witherspoon| Seth MacFarlane| Scarlett Johansson
12,Fantastic Beasts and Where To Find Them,Fantastic Beasts and Where to Find Them,2016,tt3183660,7.4,"275,755",movie,http://www.fantasticbeasts.com/,J.K. Rowling,133 min,True,18 Nov 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.4/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '74%'}| {'Source': 'Metacritic'| 'Value': '66/100'}],PG-13,Warner Bros. Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMjMxOTM1OTI4MV5BMl5BanBnXkFtZTgwODE5OTYxMDI@._V1_SX300.jpg,The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.,66,"English, Khmer",Adventure| Family| Fantasy,David Yates,28 Mar 2017,"UK, USA","$234,018,657",Won 1 Oscar. Another 14 wins & 50 nominations.,Eddie Redmayne| Sam Redford| Scott Goldman| Tim Bentinck
14,The Revenant,A World Unseen: The Revenant,2016,tt5374070,7.4,218,movie,N/A,N/A,44 min,True,21 Jan 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.4/10'}],N/A,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMDY4NmFlYWEtNzAyMy00M2NkLTk0ZTEtYThiYmE0YmFmZTBkXkEyXkFqcGdeQXVyNjE4NzI5Mzg@._V1_SX300.jpg,A short documentary following the production process of the movie 'The Revenant'.,N/A,English,Documentary| Short,Eliot Rausch,N/A,USA,N/A,N/A,Leonardo DiCaprio| Alejandro González Iñárritu
16,Star Trek Beyond,Star Trek Beyond: Visually Effective,2016,tt6339216,N/A,N/A,movie,N/A,N/A,8 min,True,01 Nov 2016,[],N/A,N/A,N/A,Get a behind the scenes look at the film's incredible visual effects.,N/A,English,Documentary| Short,N/A,N/A,USA,N/A,N/A,Chris Pine| Zachary Quinto| Zoe Saldana
18,Trolls,Trolls,2016,tt1679335,6.5,"50,970",movie,http://www.dreamworks.com/trolls/,Jonathan Aibel (screenplay by)| Glenn Berger (screenplay by)| Erica Rivinoja (story by)| Thomas Dam (based on the Good Luck Trolls created by),92 min,True,04 Nov 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.5/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '74%'}| {'Source': 'Metacritic'| 'Value': '56/100'}],PG,DreamWorks Animation,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkxNDc3OTcxMV5BMl5BanBnXkFtZTgwODk2NjAzOTE@._V1_SX300.jpg,"After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends.",56,English,Animation| Adventure| Comedy,Mike Mitchell| Walt Dohrn(co-director),07 Feb 2017,USA,"$153,694,574",Nominated for 1 Oscar. Another 3 wins & 33 nominations.,Anna Kendrick| Justin Timberlake| Zooey Deschanel| Christopher Mintz-Plasse
20,Kung Fu Panda 3,Kung Fu Panda 3,2016,tt2267968,7.1,"96,459",movie,https://www.facebook.com/kungfupanda,Jonathan Aibel| Glenn Berger,95 min,True,29 Jan 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.1/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '86%'}| {'Source': 'Metacritic'| 'Value': '66/100'}],PG,DreamWorks Animation,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyNzgxNjg2M15BMl5BanBnXkFtZTgwMTY1NDI1NjE@._V1_SX300.jpg,"Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to his home.",66,"English, Mandarin",Animation| Action| Adventure,Alessandro Carloni| Jennifer Yuh Nelson,28 Jun 2016,"China, USA","$128,341,070",10 nominations.,Jack Black| Bryan Cranston| Dustin Hoffman| Angelina Jolie
22,Central Intelligence,Central Intelligence,2016,tt1489889,6.3,"108,980",movie,http://www.centralintelligencemovie.com/,Ike Barinholtz (screenplay)| David Stassen (screenplay)| Rawson Marshall Thurber (screenplay)| Ike Barinholtz (story)| David Stassen (story),107 min,True,17 Jun 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.3/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '69%'}| {'Source': 'Metacritic'| 'Value': '52/100'}],PG-13,Warner Bros. Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA2NzEzNjIwNl5BMl5BanBnXkFtZTgwNzgwMTEzNzE@._V1_SX300.jpg,"After he reconnects with an awkward pal from high school through Facebook, a mild-mannered accountant is lured into the world of international espionage.",52,English,Action| Comedy| Crime,Rawson Marshall Thurber,27 Sep 2016,USA,"$127,380,061",2 wins & 8 nominations.,Dwayne Johnson| Kevin Hart| Amy Ryan| Danielle Nicolet
24,Sully,Sully,2016,tt3263904,7.5,"161,323",movie,http://www.sully-movie.com/,"Todd Komarnicki| Chesley Sullenberger (based on the book ""Highest Duty"" by)| Jeffrey Zaslow (based on the book ""Highest Duty"" by)",96 min,True,09 Sep 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.5/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '85%'}| {'Source': 'Metacritic'| 'Value': '74/100'}],PG-13,Warner Bros.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU5MzQwMzY3Ml5BMl5BanBnXkFtZTgwOTA3MzEzOTE@._V1_SX300.jpg,"The story of Chesley Sullenberger, an American pilot who became a hero after landing his damaged plane on the Hudson River in order to save the flight's passengers and crew.",74,English,Biography| Drama,Clint Eastwood,20 Dec 2016,USA,"$125,065,700",Nominated for 1 Oscar. Another 12 wins & 32 nominations.,Tom Hanks| Aaron Eckhart| Valerie Mahaffey| Delphi Harrington
26,The Angry Birds Movie,The Angry Birds Movie,2016,tt1985949,6.3,"60,146",movie,http://www.angrybirds-movie.com/en/,Jon Vitti (screenplay by)| Mikael Hed (story by)| Mikko Pöllä (story by)| John Cohen (story by),97 min,True,20 May 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.3/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '44%'}| {'Source': 'Metacritic'| 'Value': '43/100'}],PG,Sony Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY3MjU0NDA0OF5BMl5BanBnXkFtZTgwNTc0MTU3OTE@._V1_SX300.jpg,"Find out why the birds are so angry. When an island populated by happy, flightless birds is visited by mysterious green piggies, it's up to three unlikely outcasts - Red, Chuck and Bomb - to figure out what the pigs are up to.",43,English,Animation| Action| Adventure,Clay Kaytis| Fergal Reilly,16 Aug 2016,"Finland, USA","$107,506,776",7 nominations.,Jason Sudeikis| Josh Gad| Danny McBride| Maya Rudolph
28,The Conjuring 2,The Conjuring 2,2016,tt3065204,7.4,"155,626",movie,http://www.theconjuring2.com/,Chad Hayes (screenplay by)| Carey W. Hayes (screenplay by)| James Wan (screenplay by)| David Leslie Johnson (screenplay by)| Chad Hayes (story by)| Carey W. Hayes (story by)| James Wan (story by)| Chad Hayes (based on characters created by)| Carey W. Hayes (based on characters created by),134 min,True,10 Jun 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.4/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '79%'}| {'Source': 'Metacritic'| 'Value': '65/100'}],R,Warner Bros. Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BZjU5OWVlN2EtODNlYy00MjhhLWI0MDUtMTA3MmQ5MGMwYTZmXkEyXkFqcGdeQXVyNjE5MTM4MzY@._V1_SX300.jpg,Ed and Lorraine Warren travel to North London to help a single mother raising 4 children alone in a house plagued by a supernatural spirit.,65,English,Horror| Mystery| Thriller,James Wan,13 Sep 2016,"Canada, USA","$102,461,593",3 wins & 13 nominations.,Patrick Wilson| Vera Farmiga| Madison Wolfe| Frances O'Connor
30,Passengers (2016),error
32,The Magnificent Seven (2016),error
34,Don't Breathe,Don't Breathe,2016,tt4160708,7.1,"143,840",movie,http://www.dontbreathe-movie.com/site/,Fede Alvarez| Rodo Sayagues,88 min,True,26 Aug 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.1/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '87%'}| {'Source': 'Metacritic'| 'Value': '71/100'}],R,Ghost House Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BZGI5ZTU2M2YtZWY4MC00ZDFhLTliYTItZTk1NjdlN2NkMzg2XkEyXkFqcGdeQXVyMjY5ODI4NDk@._V1_SX300.jpg,"Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.",71,"English, Ukrainian",Crime| Horror| Thriller,Fede Alvarez,29 Nov 2016,USA,"$89,210,468",5 wins & 22 nominations.,Stephen Lang| Jane Levy| Dylan Minnette| Daniel Zovatto
36,The Accountant,The Accountant,2016,tt2140479,7.4,"194,880",movie,http://www.accountantmovie.com/,Bill Dubuque,128 min,True,14 Oct 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.4/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '52%'}| {'Source': 'Metacritic'| 'Value': '51/100'}],R,Warner Bros. Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BNjFmN2UwYWEtMmNiNi00YTU5LThiM2YtMmU4YzYzYTA3YWFjXkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_SX300.jpg,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities, and the body count starts to rise.",51,"English, Indonesian, French",Action| Crime| Drama,Gavin O'Connor,10 Jan 2017,USA,"$86,198,014",3 wins & 4 nominations.,Ben Affleck| Anna Kendrick| J.K. Simmons| Jon Bernthal
38,The Purge: Election Year,The Purge: Election Year,2016,tt4094724,6.0,"61,352",movie,http://www.thepurgeelectionyear.com/,James DeMonaco,108 min,True,01 Jul 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.0/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '54%'}| {'Source': 'Metacritic'| 'Value': '55/100'}],R,Universal Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMjMxNzk2OTQ1OV5BMl5BanBnXkFtZTgwMTI2NjU5ODE@._V1_SX300.jpg,"Former Police Sergeant Barnes becomes head of security for Senator Charlie Roan, a Presidential candidate targeted for death on Purge night due to her vow to eliminate the Purge.",55,English,Action| Horror| Sci-Fi,James DeMonaco,04 Oct 2016,"USA, France",N/A,6 nominations.,Frank Grillo| Elizabeth Mitchell| Mykelti Williamson| Joseph Julian Soria
40,Pete's Dragon (2016),error
