,rank,name,name_link,budget,studio,total_gross,total_thea,open_gross,open_thea,open_date,close_date,Title,Year,imdbID,imdbRating,imdbVotes,Type,Website,Writer,Runtime,Response,Released,Ratings,Rated,Production,Poster,Plot,Metascore,Language,Genre,Director,DVD,Country,BoxOffice,Awards,Actors
25,51,London Has Fallen,http://www.boxofficemojo.com//movies/?id=londonhasfallen.htm,$60 million,Focus,62524260,3492,21635601.0,3490.0,3/4,6/2,London Has Fallen,2016,tt3300542,5.9,"107,731",movie,http://www.londonhasfallen.com/,Creighton Rothenberger (based on characters created by)| Katrin Benedikt (based on characters created by)| Creighton Rothenberger (story by)| Katrin Benedikt (story by)| Creighton Rothenberger (screenplay by)| Katrin Benedikt (screenplay by)| Christian Gudegast (screenplay by)| Chad St. John (screenplay by),99 min,True,04 Mar 2016,[{'Source': 'Internet Movie Database'| 'Value': '5.9/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '25%'}| {'Source': 'Metacritic'| 'Value': '28/100'}],R,Focus Features,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY1ODY2MTgwM15BMl5BanBnXkFtZTgwOTY3Nzc3NzE@._V1_SX300.jpg,"In London for the Prime Minister's funeral, Mike Banning discovers a plot to assassinate all the attending world leaders.",28.0,"English, Italian, French, Japanese",Action| Crime| Drama,Babak Najafi,14 Jun 2016,"UK, Bulgaria, USA",,1 win & 2 nominations.,Alon Aboutboul| Waleed Zuaiter| Adel Bencherif| Mehdi Dehbi
26,53,Deepwater Horizon,http://www.boxofficemojo.com//movies/?id=deepwaterhorizon.htm,$110 million,LG/S,61433527,3403,20223544.0,3259.0,9/30,12/15,Deepwater Horizon,2016,tt1860357,7.2,"107,842",movie,http://www.deepwaterhorizon.movie/,Matthew Michael Carnahan (screenplay by)| Matthew Sand (screenplay by)| Matthew Sand (screen story)| David Barstow (article)| David Rohde (article)| Stephanie Saul (article),107 min,True,30 Sep 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.2/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '84%'}| {'Source': 'Metacritic'| 'Value': '68/100'}],PG-13,Lionsgate,https://images-na.ssl-images-amazon.com/images/M/MV5BOTEzNDU0OTgxM15BMl5BanBnXkFtZTgwNjA0ODM2OTE@._V1_SX300.jpg,"A dramatization of the disaster back in April 2010, when the offshore drilling rig called the Deepwater Horizon created a giant explosion, which created the worst oil spill in American history.",68.0,English,Action| Drama| Thriller,Peter Berg,10 Jan 2017,"Hong Kong, USA","$73,098,411",Nominated for 2 Oscars. Another 3 wins & 11 nominations.,Mark Wahlberg| Kurt Russell| Douglas M. Griffin| James DuMont
27,55,My Big Fat Greek Wedding 2,http://www.boxofficemojo.com//movies/?id=mybigfatgreekwedding2.htm,,Uni.,59689605,3179,17861950.0,3133.0,3/25,5/26,My Big Fat Greek Wedding 2,2016,tt3760922,6.0,"22,336",movie,http://www.mybigfatgreekweddingmovie.com/,Nia Vardalos,94 min,True,25 Mar 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.0/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '28%'}| {'Source': 'Metacritic'| 'Value': '37/100'}],PG-13,Gold Circle Films,https://images-na.ssl-images-amazon.com/images/M/MV5BNTA1MjMzNDM2M15BMl5BanBnXkFtZTgwNTg3NzQ1NzE@._V1_SX300.jpg,A Portokalos family secret brings the beloved characters back together for an even bigger and Greeker wedding.,37.0,"English, Greek",Comedy| Family| Romance,Kirk Jones,21 Jun 2016,"USA, Canada","$52,069,651",3 nominations.,Nia Vardalos| John Corbett| Michael Constantine| Lainie Kazan
28,57,Fences,http://www.boxofficemojo.com//movies/?id=fences.htm,$24 million,Par.,57682904,2368,129462.0,4.0,12/25,3/30,Fences,2016,tt2671706,7.2,"65,551",movie,http://www.fencesmovie.com/,"August Wilson (screenplay by)| August Wilson (based upon his play ""Fences"")",139 min,True,25 Dec 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.2/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '93%'}| {'Source': 'Metacritic'| 'Value': '79/100'}],PG-13,Paramount Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BOTg0Nzc1NjA0MV5BMl5BanBnXkFtZTgwNTcyNDQ0MDI@._V1_SX300.jpg,"A working-class African-American father tries to raise his family in the 1950s, while coming to terms with the events of his life.",79.0,English,Drama,Denzel Washington,14 Mar 2017,"USA, Canada","$57,642,961",Won 1 Oscar. Another 49 wins & 106 nominations.,Denzel Washington| Viola Davis| Stephen Henderson| Jovan Adepo
29,59,The BFG,http://www.boxofficemojo.com//movies/?id=bfg.htm,$140 million,BV,55483770,3392,18775350.0,3357.0,7/1,10/13,The BFG,2016,tt3691740,6.4,"57,141",movie,http://movies.disney.com/the-bfg,Melissa Mathison (screenplay)| Roald Dahl (book),117 min,True,01 Jul 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.4/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '75%'}| {'Source': 'Metacritic'| 'Value': '66/100'}],PG,Walt Disney Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BNjAzOTUzNTY3Ml5BMl5BanBnXkFtZTgwMjYwNzE5ODE@._V1_SX300.jpg,"An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world.",66.0,English,Adventure| Family| Fantasy,Steven Spielberg,29 Nov 2016,"USA, India","$55,472,665",4 wins & 19 nominations.,Mark Rylance| Ruby Barnhill| Penelope Wilton| Jemaine Clement
30,61,The Shallows,http://www.boxofficemojo.com//movies/?id=theshallows.htm,$17 million,Sony,55124043,2962,16800868.0,2962.0,6/24,9/29,The Shallows,2016,tt4052882,6.3,"87,988",movie,http://www.theshallows-movie.com/site/,Anthony Jaswinski,86 min,True,24 Jun 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.3/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '78%'}| {'Source': 'Metacritic'| 'Value': '59/100'}],PG-13,Ombra Films,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA1MTA4MzU4Ml5BMl5BanBnXkFtZTgwNjUxNjczODE@._V1_SX300.jpg,"A mere 200 yards from shore, surfer Nancy is attacked by a great white shark, with her short journey to safety becoming the ultimate contest of wills.",59.0,"English, Spanish",Drama| Horror| Thriller,Jaume Collet-Serra,27 Sep 2016,"USA, Australia, Spain","$55,121,623",13 nominations.,Blake Lively| Óscar Jaenada| Angelo Josue Lozano Corzo| Joseph Salas
31,63,Assassin's Creed,http://www.boxofficemojo.com//movies/?id=assassinscreed.htm,$125 million,Fox,54647948,2996,10278225.0,2970.0,12/21,3/9,Assassin's Creed,2016,tt2094766,5.9,"135,950",movie,http://www.foxmovies.com/movies/assassins-creed,Michael Lesslie (screenplay by)| Adam Cooper (screenplay by)| Bill Collage (screenplay by),115 min,True,21 Dec 2016,[{'Source': 'Internet Movie Database'| 'Value': '5.9/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '17%'}| {'Source': 'Metacritic'| 'Value': '36/100'}],PG-13,20th Century Fox,https://images-na.ssl-images-amazon.com/images/M/MV5BNzE1OTczNTc1OF5BMl5BanBnXkFtZTgwMzgyMDI3MDI@._V1_SX300.jpg,"Callum Lynch explores the memories of his ancestor Aguilar de Nerha and gains the skills of a Master Assassin, before taking on the secret Templar society.",36.0,"English, Spanish, Arabic",Action| Adventure| Fantasy,Justin Kurzel,21 Mar 2017,"USA, France, UK, Hong Kong, Taiwan, Malta","$54,645,723",2 wins & 1 nomination.,Michael Fassbender| Marion Cotillard| Jeremy Irons| Brendan Gleeson
32,65,13 Hours: The Secret Soldiers of Benghazi,http://www.boxofficemojo.com//movies/?id=13hoursthesecretsoldiersofbenghazi.htm,$50 million,Par.,52853219,2917,16194738.0,2389.0,1/15,3/24,13 Hours,2016,tt4172430,7.3,"84,068",movie,http://www.thirteenhoursmovie.com/,Chuck Hogan (screenplay)| Mitchell Zuckoff (book),144 min,True,15 Jan 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.3/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '50%'}| {'Source': 'Metacritic'| 'Value': '48/100'}],R,Paramount Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMjU3OTQ5NDc3Ml5BMl5BanBnXkFtZTgwOTEwNTkxNzE@._V1_SX300.jpg,"During an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos.",48.0,"English, Arabic",Action| Drama| History,Michael Bay,07 Jun 2016,"Malta, Morocco, USA","$37,978,162",Nominated for 1 Oscar. Another 4 nominations.,John Krasinski| James Badge Dale| Pablo Schreiber| David Denman
33,67,Kubo and the Two Strings,http://www.boxofficemojo.com//movies/?id=kuboandthetwostrings.htm,$60 million,Focus,48023088,3279,12608372.0,3260.0,8/19,12/1,Kubo and the Two Strings,2016,tt4302938,7.8,"84,686",movie,http://www.kubothemovie.com/,Marc Haimes (screenplay by)| Chris Butler (screenplay by)| Shannon Tindle (story by)| Marc Haimes (story by),101 min,True,19 Aug 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.8/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '97%'}| {'Source': 'Metacritic'| 'Value': '84/100'}],PG,Focus Features,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA2Mzg2NDMzNl5BMl5BanBnXkFtZTgwMjcwODUzOTE@._V1_SX300.jpg,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.,84.0,English,Animation| Adventure| Family,Travis Knight,22 Nov 2016,USA,"$48,019,281",Nominated for 2 Oscars. Another 30 wins & 59 nominations.,Art Parkinson| Charlize Theron| Ralph Fiennes| Brenda Vaccaro
34,69,Warcraft,http://www.boxofficemojo.com//movies/?id=warcraft.htm,$160 million,Uni.,47365290,3406,24166110.0,3400.0,6/10,9/8,Warcraft: The Beginning,2016,tt0803096,6.9,"198,575",movie,http://www.warcraftmovie.com/,Charles Leavitt (screenplay)| Duncan Jones (screenplay),123 min,True,10 Jun 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.9/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '28%'}| {'Source': 'Metacritic'| 'Value': '32/100'}],PG-13,Universal Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIwNTM0Mzc5MV5BMl5BanBnXkFtZTgwMDk5NDU1ODE@._V1_SX300.jpg,"As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war.",32.0,English,Action| Adventure| Fantasy,Duncan Jones,27 Sep 2016,"China, Canada, Japan, USA","$44,765,679",2 wins & 3 nominations.,Travis Fimmel| Paula Patton| Ben Foster| Dominic Cooper
35,71,Mike and Dave Need Wedding Dates,http://www.boxofficemojo.com//movies/?id=mikeanddave.htm,$33 million,Fox,46009673,3008,16628170.0,2982.0,7/8,10/13,Mike and Dave Need Wedding Dates,2016,tt2823054,6.0,"62,039",movie,http://www.foxmovies.com/movies/mike-and-dave-need-wedding-dates,Andrew Jay Cohen| Brendan O'Brien,98 min,True,08 Jul 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.0/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '35%'}| {'Source': 'Metacritic'| 'Value': '51/100'}],R,20th Century Fox,https://images-na.ssl-images-amazon.com/images/M/MV5BMjM4NDIxNzI5Nl5BMl5BanBnXkFtZTgwMTg4NTY5NzE@._V1_SX300.jpg,"Two hard-partying brothers place an online ad to find the perfect dates for their sister's Hawaiian wedding. Hoping for a wild getaway, the boys instead find themselves out-hustled by an uncontrollable duo.",51.0,"Chinese, Japanese, English",Adventure| Comedy| Romance,Jake Szymanski,27 Sep 2016,USA,"$46,007,113",4 nominations.,Zac Efron| Adam Devine| Anna Kendrick| Aubrey Plaza
36,73,Almost Christmas,http://www.boxofficemojo.com//movies/?id=ameyerschristmas.htm,$17 million,Uni.,42065185,2379,15134235.0,2376.0,11/11,1/5,Almost Christmas,2016,tt4649416,6.0,"3,604",movie,http://www.almostchristmasmovie.com,David E. Talbert,111 min,True,11 Nov 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.0/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '51%'}| {'Source': 'Metacritic'| 'Value': '55/100'}],PG-13,Will Packer Productions,https://images-na.ssl-images-amazon.com/images/M/MV5BMjM1MTkwNTQ1Ml5BMl5BanBnXkFtZTgwNTc5ODgxOTE@._V1_SX300.jpg,A dysfunctional family gathers together for their first Christmas since their mom died.,55.0,English,Comedy| Drama,David E. Talbert,07 Feb 2017,USA,"$41,715,860",3 nominations.,Danny Glover| Gabrielle Union| Mo'Nique| Kimberly Elise
37,75,Allied,http://www.boxofficemojo.com//movies/?id=pittcotillard.htm,$85 million,Par.,40098064,3160,12701743.0,3160.0,11/23,1/26,Allied,2016,tt3640424,7.1,"98,742",movie,http://www.alliedmovie.com/,Steven Knight,124 min,True,23 Nov 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.1/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '59%'}| {'Source': 'Metacritic'| 'Value': '60/100'}],R,Paramount Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BZWEyMzg4ZWUtYmZhMC00Yjk2LWEyYjktODVmN2M3YTA2ZmNjXkEyXkFqcGdeQXVyNjQ2Mjg3OTI@._V1_SX300.jpg,"In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.",60.0,"English, French, German, Arabic",Action| Drama| Romance,Robert Zemeckis,28 Feb 2017,"UK, USA","$40,069,087",Nominated for 1 Oscar. Another 10 nominations.,Brad Pitt| Vincent Ebrahim| Xavier De Guillebon| Marion Cotillard
38,77,Risen,http://www.boxofficemojo.com//movies/?id=risen.htm,$20 million,Sony,36880033,2915,11801271.0,2915.0,2/19,5/19,Risen,2016,tt3231054,6.3,"19,290",movie,http://www.risen-movie.com/,Kevin Reynolds (screenplay)| Paul Aiello (screenplay)| Paul Aiello (story),107 min,True,19 Feb 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.3/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '52%'}| {'Source': 'Metacritic'| 'Value': '51/100'}],PG-13,Sony Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMTAzNjQ1Mzk2MjNeQTJeQWpwZ15BbWU4MDU0MDk1Mjcx._V1_SX300.jpg,"In 33 AD, a Roman Tribune in Judea is tasked to find the missing body of Jesus Christ who rose from the dead.",51.0,English,Action| Adventure| Drama,Kevin Reynolds,24 May 2016,USA,,,Joseph Fiennes| Tom Felton| Peter Firth| Cliff Curtis
39,79,The Boy (2016),http://www.boxofficemojo.com//movies/?id=boy2016.htm,$10 million,STX,35819556,2671,10778392.0,2671.0,1/22,3/31,The Boy,2016,tt3882082,6.0,"56,837",movie,http://theboymovie.tumblr.com/,Stacey Menear,97 min,True,22 Jan 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.0/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '28%'}| {'Source': 'Metacritic'| 'Value': '42/100'}],PG-13,STX Entertainment,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc1MjcxNzcwMV5BMl5BanBnXkFtZTgwMTE0NTE2NzE@._V1_SX300.jpg,"An American nanny is shocked that her new English family's boy is actually a life-sized doll. After she violates a list of strict rules, disturbing events make her believe that the doll is really alive.",42.0,English,Horror| Mystery| Thriller,William Brent Bell,10 May 2016,"USA, China, Canada","$30,196,680",6 nominations.,Lauren Cohan| Rupert Evans| James Russell| Jim Norton
40,81,Ouija: Origin of Evil,http://www.boxofficemojo.com//movies/?id=blumhouse3.htm,$9 million,Uni.,35144505,3168,14065500.0,3167.0,10/21,12/29,Ouija: Origin of Evil,2016,tt4361050,6.1,"37,283",movie,http://ouijamovie.com/,Mike Flanagan| Jeff Howard| Juliet Snowden (based on characters created by)| Stiles White (based on characters created by),99 min,True,21 Oct 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.1/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '82%'}| {'Source': 'Metacritic'| 'Value': '65/100'}],PG-13,Universal Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4NTcxNTQ5NF5BMl5BanBnXkFtZTgwNTk5OTU4OTE@._V1_SX300.jpg,"In 1967 Los Angeles, a widowed mother and her daughters add a new stunt to bolster their seance scam business, inviting an evil presence into their home.",65.0,"English, Ukrainian",Horror| Thriller,Mike Flanagan,17 Jan 2017,"USA, China, Japan","$34,904,885",2 wins & 5 nominations.,Annalise Basso| Elizabeth Reaser| Lulu Wilson| Henry Thomas
41,83,Inferno,http://www.boxofficemojo.com//movies/?id=inferno2015.htm,$75 million,Sony,34343574,3576,14860425.0,3576.0,10/28,1/19,Inferno,2016,tt3062096,6.2,"114,234",movie,http://www.infernomovie.net/site,Dan Brown (based in part on the novel by)| David Koepp (screenplay by),121 min,True,28 Oct 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.2/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '22%'}| {'Source': 'Metacritic'| 'Value': '42/100'}],PG-13,Sony Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUzNTE2NTkzMV5BMl5BanBnXkFtZTgwMDAzOTUyMDI@._V1_SX300.jpg,"When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks, and together they must race across Europe against the clock to foil a deadly global plot.",42.0,"English, French, Italian, Turkish",Action| Adventure| Crime,Ron Howard,24 Jan 2017,"USA, Hungary","$34,307,024",1 nomination.,Tom Hanks| Felicity Jones| Omar Sy| Irrfan Khan
42,85,Gods of Egypt,http://www.boxofficemojo.com//movies/?id=godsofegypt.htm,$140 million,LG/S,31153464,3117,14123903.0,3117.0,2/26,5/12,Gods of Egypt,2016,tt2404233,5.4,"79,193",movie,http://www.godsofegypt.movie/home,Matt Sazama| Burk Sharpless,127 min,True,26 Feb 2016,[{'Source': 'Internet Movie Database'| 'Value': '5.4/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '15%'}| {'Source': 'Metacritic'| 'Value': '25/100'}],PG-13,Lionsgate,https://images-na.ssl-images-amazon.com/images/M/MV5BNjExODg3MDUzNl5BMl5BanBnXkFtZTgwNjExMjE3NzE@._V1_SX300.jpg,"Mortal hero Bek teams with the god Horus in an alliance against Set, the merciless god of darkness, who has usurped Egypt's throne, plunging the once peaceful and prosperous empire into chaos and conflict.",25.0,English,Action| Adventure| Fantasy,Alex Proyas,31 May 2016,"USA, Australia","$31,141,074",1 win & 14 nominations.,Brenton Thwaites| John Samaha| Courtney Eaton| Nikolaj Coster-Waldau
43,87,"Hail, Caesar!",http://www.boxofficemojo.com//movies/?id=hailcaesar.htm,$22 million,Uni.,30498085,2248,11355225.0,2232.0,2/5,6/30,"Hail, Caesar!",2016,tt0475290,6.3,"95,042",movie,http://www.hailcaesarmovie.com/,Joel Coen| Ethan Coen,106 min,True,05 Feb 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.3/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '85%'}| {'Source': 'Metacritic'| 'Value': '72/100'}],PG-13,Universal Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BOTI1M2FlMzItY2VjYS00Y2VkLWI5OTQtMzA0MWMyNmQzZmQ0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,A Hollywood fixer in the 1950s works to keep the studio's stars in line.,72.0,English,Comedy| Mystery,Ethan Coen| Joel Coen,07 Jun 2016,"UK, USA, Japan","$27,927,631",Nominated for 1 Oscar. Another 11 wins & 37 nominations.,Josh Brolin| George Clooney| Alden Ehrenreich| Ralph Fiennes
44,89,Zoolander 2,http://www.boxofficemojo.com//movies/?id=zoolander2.htm,,Par.,28848693,3418,13841146.0,3394.0,2/12,3/31,Zoolander 2,2016,tt1608290,4.7,"51,834",movie,http://www.zoolander.com/,Justin Theroux| Ben Stiller| Nicholas Stoller| John Hamburg| Drake Sather (character Derek Zoolander)| Ben Stiller (character Derek Zoolander),101 min,True,12 Feb 2016,[{'Source': 'Internet Movie Database'| 'Value': '4.7/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '23%'}| {'Source': 'Metacritic'| 'Value': '34/100'}],PG-13,Paramount Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI2MjQxNTQzOV5BMl5BanBnXkFtZTgwMDE2MTY2NzE@._V1_SX300.jpg,"Derek and Hansel are lured into modeling again, in Rome, where they find themselves the target of a sinister conspiracy.",34.0,"English, Italian, Spanish",Comedy,Ben Stiller,24 May 2016,USA,"$29,782,560",6 wins & 17 nominations.,Justin Bieber| Jon Daly| Penélope Cruz| Ben Stiller
45,91,The Finest Hours,http://www.boxofficemojo.com//movies/?id=finesthours.htm,,BV,27569558,3143,10288932.0,3143.0,1/29,4/7,The Finest Hours,2016,tt2025690,6.8,"48,273",movie,http://movies.disney.com/the-finest-hours,Scott Silver (screenplay)| Paul Tamasy (screenplay)| Eric Johnson (screenplay)| Casey Sherman (book)| Michael J. Tougias (book),117 min,True,29 Jan 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.8/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '64%'}| {'Source': 'Metacritic'| 'Value': '58/100'}],PG-13,Walt Disney Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BNTY1MDU1NzYzN15BMl5BanBnXkFtZTgwOTA0MDQyNzE@._V1_SX300.jpg,The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952.,58.0,English,Action| Drama| History,Craig Gillespie,24 May 2016,USA,"$20,278,493",2 wins.,Chris Pine| Casey Affleck| Ben Foster| Eric Bana
46,93,Hell or High Water,http://www.boxofficemojo.com//movies/?id=hellorhighwater.htm,$12 million,LGF,27007844,1505,621329.0,32.0,8/26,11/17,Hell or High Water,2016,tt2582782,7.6,"135,166",movie,http://hellorhighwater.movie,Taylor Sheridan,102 min,True,26 Aug 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.6/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '98%'}| {'Source': 'Metacritic'| 'Value': '88/100'}],R,Film 44,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg4NDA1OTA5NF5BMl5BanBnXkFtZTgwMDQ2MDM5ODE@._V1_SX300.jpg,A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,88.0,English,Crime| Drama| Thriller,David Mackenzie,22 Nov 2016,USA,"$26,973,524",Nominated for 4 Oscars. Another 39 wins & 156 nominations.,Dale Dickey| Ben Foster| Chris Pine| William Sterchi
47,95,Ben-Hur (2016),http://www.boxofficemojo.com//movies/?id=benhur2016.htm,$100 million,Par.,26410477,3084,11203815.0,3084.0,8/19,10/6,Ben-Hur,2016,tt2638144,5.7,"32,639",movie,http://www.benhurmovie.com/,Lew Wallace (based on the novel by)| Keith R. Clarke (screenplay)| John Ridley (screenplay),123 min,True,19 Aug 2016,[{'Source': 'Internet Movie Database'| 'Value': '5.7/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '25%'}| {'Source': 'Metacritic'| 'Value': '38/100'}],PG-13,Paramount Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMjQ2NzYxMDQ2OV5BMl5BanBnXkFtZTgwMDk2MzczOTE@._V1_SX300.jpg,"Judah Ben-Hur, a prince falsely accused of treason by his adopted brother, an officer in the Roman army, returns to his homeland after years at sea to seek revenge, but finds redemption.",38.0,"English, Persian, Greek, Arabic",Action| Adventure| Drama,Timur Bekmambetov,13 Dec 2016,USA,"$26,384,681",2 wins.,Jack Huston| Toby Kebbell| Rodrigo Santoro| Nazanin Boniadi
48,97,Bridget Jones's Baby,http://www.boxofficemojo.com//movies/?id=bridgetjonessbaby.htm,$35 million,Uni.,24252420,2930,8571785.0,2927.0,9/16,12/15,Bridget Jones's Baby,2016,tt1473832,6.6,"48,975",movie,http://www.bridgetjonesmovie.com/,Helen Fielding (screenplay)| Dan Mazer (screenplay)| Emma Thompson (screenplay)| Helen Fielding (based on the characters and story created by),118 min,True,16 Sep 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.6/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '76%'}| {'Source': 'Metacritic'| 'Value': '59/100'}],R,Working Title,https://images-na.ssl-images-amazon.com/images/M/MV5BMjQyMTI0MjIyOV5BMl5BanBnXkFtZTgwMzEyMjQ1ODE@._V1_SX300.jpg,"Bridget's focus on single life and her career is interrupted when she finds herself pregnant, but with one hitch ... she can only be fifty percent sure of the identity of her baby's father.",59.0,"English, Italian",Comedy| Romance,Sharon Maguire,13 Dec 2016,"Ireland, UK, France, USA","$24,089,465",1 win & 1 nomination.,Renée Zellweger| Gemma Jones| Jim Broadbent| Sally Phillips
49,99,Whiskey Tango Foxtrot,http://www.boxofficemojo.com//movies/?id=untitledtinafeycomedy.htm,$35 million,Par.,23083334,2413,7450275.0,2374.0,3/4,4/28,Whiskey Tango Foxtrot,2016,tt3553442,6.6,"39,545",movie,http://www.whiskeytangofoxtrotthemovie.com/,"Robert Carlock (screenplay by)| Kim Barker (based on the book ""The Taliban Shuffle: Strange Days in Afghanistan and Pakistan"" by)",112 min,True,04 Mar 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.6/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '68%'}| {'Source': 'Metacritic'| 'Value': '57/100'}],R,Paramount Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIxOTIzMTM5OF5BMl5BanBnXkFtZTgwNDIxNTA1NzE@._V1_SX300.jpg,A journalist recounts her wartime coverage in Afghanistan.,57.0,"English, Pushto, Dari, French",Biography| Comedy| Drama,Glenn Ficarra| John Requa,28 Jun 2016,USA,"$18,356,529",1 nomination.,Tina Fey| Margot Robbie| Martin Freeman| Alfred Molina
50,2,Finding Dory,http://www.boxofficemojo.com//movies/?id=pixar2015.htm,,BV,486295561,4305,135060273.0,4305.0,6/17,12/8,Finding Dory,2016,tt2277860,7.4,"177,113",movie,http://movies.disney.com/finding-dory,Andrew Stanton (original story by)| Andrew Stanton (screenplay by)| Victoria Strouse (screenplay by)| Bob Peterson (additional screenplay material by)| Angus MacLane (additional story material by),97 min,True,17 Jun 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.4/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '94%'}| {'Source': 'Metacritic'| 'Value': '77/100'}],PG,Walt Disney Pictures/PIXAR,https://images-na.ssl-images-amazon.com/images/M/MV5BNzg4MjM2NDQ4MV5BMl5BanBnXkFtZTgwMzk3MTgyODE@._V1_SX300.jpg,"The friendly but forgetful blue tang fish, Dory, begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.",77.0,"English, Indonesian",Animation| Adventure| Comedy,Andrew Stanton| Angus MacLane(co-director),15 Nov 2016,USA,"$486,292,984",Nominated for 1 BAFTA Film Award. Another 15 wins & 42 nominations.,Ellen DeGeneres| Albert Brooks| Ed O'Neill| Kaitlin Olson
